Table Name,nz Count,sf Count,Diff1,nz Filter,nz Count with Filter,sf FIlter,sf Count with Filter,Diff2,Dupes in NZ,Dupes in SF,Dupes in NZ with filter,Dupes in SF with,Max Audit ID
HUB_ENT_BILL_ADJSTMT,22,22,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,22,,22,0,N/A,N/A,N/A,N/A,138
HUB_ENT_MATRL,239,239,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,239,,239,0,,,,,138
HUB_ENT_SRCHRG,202,202,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,202,,202,0,,,,,138
HUB_ENT_SVC_SUB_CTGRY,128,128,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,128,,128,0,N/A,N/A,N/A,N/A,138
HUB_ENT_PROD,226,226,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,226,,226,0,,,,,138
HUB_UOM_CTGRY,13,13,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,13,,13,0,,,,,138
HUB_INVC,964767233,803099738,161667495,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL AND SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),532423471,,803099738,-270676267,420062454,,,,138
HUB_UOM,28,28,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,28,,28,0,,,,,138
HUB_ENT_CTLG,14459,14451,8,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,14459,,14451,8,,,,,138
HUB_SVC_PRC_HIST,7263939,922383,6341556,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,5898665,,922383,4976282,,5,,5,138
HUB_AGRMT_PRC_RATE_RESTRICTN,50776069,51594308,-818239,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,50728392,,51594308,-865916,,,,,138
HUB_XLAT_BILL_CTLG,59871,39583,20288,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,59868,,39583,20285,3,,,,138
HUB_AGRMT_VALUE_CHG_HIST,461273023,416050743,45222280,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL AND SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),327738621,,416050743,-88312122,34,,,,138
HUB_INVC_LN_ITEM_DTL,4306713839,3078861126,1227852713,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL AND SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),2966421574,,3078861126,-112439552,904096148,,223,,138
HUB_AGRMT_LN_ITEM_VALUE_CHG_HIST,2795229308,2861113594,-65884286,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL AND SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),2792343262,,2861113594,-68770332,1067486,,,,138
XREF_AR_CSTMR,51656497,51594304,62193,,51656497,,51594304,62193,,,,,134
HUB_AGRMT_LN_ITEM,173296518,270597753,-97301235,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL AND SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),135307552,,270597753,-135290201,585298,135292578,,135292578,138
HUB_PARTY_LOC,77849639,77756448,93191,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,77849637,,77756448,93189,2,,,,N/A
