Table Name,nz Count,sf Count,Diff1,nz Filter,nz Count with Filter,sf FIlter,sf Count with Filter,Diff2,Dupes in NZ,Dupes in SF,Dupes in NZ with filter,Dupes in SF with,Max Audit ID
HUB_AGRMT_PRC_RATE_RESTRICTN_TYPE,15,15,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,10,,15,-5,,,,,
HUB_GL_ACCT,6008,6008,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,6008,,6008,0,,,,,
HUB_SVC_FREQ,20,20,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,20,,20,0,,,,,
HUB_AGRMT_STS,14,14,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,14,,14,0,,,,,186
HUB_ENT_EQPMNT_TYPE,35,35,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,35,,35,0,,,,,196
HUB_ENT_VEHICLE_TYPE,22,22,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,22,,22,0,,,,,196
HUB_OPRTN_LOB,21,21,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,21,,21,0,,,,,186
HUB_ENT_BILL_ADJSTMT_TYPE,2,2,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,2,,2,0,N/A,N/A,N/A,N/A,196
HUB_ENT_MATRL_CLASS,48,48,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,48,,48,0,N/A,N/A,N/A,N/A,196
HUB_ENT_MATRL_STRM,10,10,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,10,,10,0,,,,,196
HUB_ENT_PROD_TYPE,15,15,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,15,,15,0,N/A,N/A,N/A,N/A,196
HUB_ENT_SRCHRG_TYPE,6,6,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,6,,6,0,N/A,N/A,N/A,N/A,196
HUB_ENT_SVC_CTGRY,7,7,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,7,,7,0,N/A,N/A,N/A,N/A,196
HUB_SRC_SYS_SVC,152045,138916,13129,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,152045,,138916,13129,,,,,196
HUB_SVC_LNK_SVC_HIST,213921,27306,186615,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,213526,,27306,186220,15648,,15585,,196
HUB_ENT_EQPMNT,840,840,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,840,,840,0,,,,,196
HUB_ENT_BILL_ADJSTMT,22,22,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,22,,22,0,N/A,N/A,N/A,N/A,196
HUB_ENT_MATRL,240,241,-1,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,240,,241,-1,,,,,196
HUB_ENT_SRCHRG,203,203,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,203,,203,0,,,,,196
HUB_ENT_SVC_SUB_CTGRY,128,129,-1,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,128,,129,-1,N/A,N/A,N/A,N/A,196
HUB_ENT_PROD,226,226,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,226,,226,0,,,,,196
HUB_UOM_CTGRY,13,13,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,13,,13,0,,,,,196
HUB_INVC,978448315,809157198,169291117,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL AND SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),538972017,,809157198,-270185181,427111534,,,,180
HUB_UOM,28,28,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,28,,28,0,,,,,196
HUB_ENT_CTLG,14473,14465,8,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,14473,,14465,8,,,,,196
HUB_SVC_PRC_HIST,7269428,910016,6359412,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,5904111,,910016,4994095,,2,,2,196
HUB_AGRMT_PRC_RATE_RESTRICTN,51411985,52200928,-788943,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,51364308,,52200928,-836620,,,,,196
HUB_XLAT_BILL_CTLG,59975,39687,20288,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,59972,,39687,20285,3,,,,196
HUB_AGRMT_VALUE_CHG_HIST,468916741,420926704,47990037,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL AND SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),334064873,,420926704,-86861831,34,10,,10,196
HUB_INVC_LN_ITEM_DTL,4365984778,3113595383,1252389395,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL AND SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),3003793884,,3113595383,-109801499,919483944,,223,,180
