Table Name,nz Count,sf Count,Diff1,nz Filter,nz Count with Filter,sf FIlter,sf Count with Filter,Diff2,Dupes in NZ,Dupes in SF,Dupes in NZ with filter,Dupes in SF with,Max Audit ID
DIM_REVENUE_TYPE,19,20,-1,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,N/A,,20,N/A,N/A,N/A,N/A,N/A,N/A
DIM_DT_MNTH,3605,3600,5,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,N/A,,3600,N/A,N/A,N/A,N/A,N/A,8000014
DIM_PRSNL,N/A,N/A,N/A,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DIM_EXCLUSION,570,573,-3,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,N/A,,573,N/A,,10,N/A,N/A,0
DIM_PRSNL_HIST,2177093,636904,1540189,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,N/A,,636904,N/A,,,N/A,N/A,N/A
DIM_NAICS,2938,2931,7,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,N/A,,2931,N/A,,,N/A,N/A,146
DIM_SIC,1012,1005,7,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,N/A,,1005,N/A,,,N/A,N/A,146
DIM_SRC_SYS_SVC,151867,138800,13067,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,151867,,138800,13067,N/A,N/A,N/A,N/A,146
DIM_SRC_SYS,48,41,7,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,N/A,,41,N/A,,,N/A,N/A,
DIM_PARTY,38981360,38968703,12657,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,N/A,,38968703,N/A,,,N/A,N/A,146
DIM_STATE,4705,4715,-10,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,N/A,,4715,N/A,,,N/A,N/A,146
DIM_CCY,256,249,7,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,N/A,,249,N/A,,,N/A,N/A,146
DIM_RATE_TYPE,13,13,0,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,N/A,,13,N/A,,,N/A,N/A,
DIM_UOM,35,28,7,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,N/A,,28,N/A,,,N/A,N/A,N/A
DIM_FINCL_LOB,453,363,90,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,N/A,,363,N/A,56,,N/A,N/A,146
DIM_PARTY_HIST,50101087,38968703,11132384,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,N/A,,38968703,N/A,,,N/A,N/A,146
DIM_SALES_ANALYSIS_LOB,15,8,7,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,N/A,,8,N/A,,,N/A,N/A,146
DIM_SVC_PRC_HIST,7263939,922386,6341553,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL AND CUR_REC_FLG = 'Y',800960,,922386,-121426,,5,,5,146
SRC_DIM_MASCDC_AGRMT_R2,51335516,50926394,409122,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,N/A,,50926394,N/A,N/A,N/A,N/A,N/A,146
DIM_AGRMT_VALUE_CHG_HIST,461273391,4483,461268908,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,N/A,,4483,N/A,,,N/A,N/A,0
