Table Name,nz Count,sf Count,Diff1,nz Filter,nz Count with Filter,sf FIlter,sf Count with Filter,Diff2,Dupes in NZ,Dupes in SF,Dupes in NZ with filter,Dupes in SF with,Max Audit ID
HUB_AGRMT_LN_ITEM_VALUE_CHG_HIST,2941072625,9681305,2931391320,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL AND SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),2938185803,,9681305,2928504498,1068254,,,,204
XREF_AR_CSTMR,52265638,52205006,60632,,52265638,,52205006,60632,,,,,200
HUB_AGRMT_LN_ITEM,175194893,136170483,39024410,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS  NULL AND SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),136054910,,136170483,-115573,651875,,,,204
HUB_PARTY_LOC,79052738,77756448,1296290,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL,79052736,,77756448,1296288,2,,,,N/A
DIM_REVENUE_TYPE,19,20,-1,WHERE CURRENT_IND <>120,19,,20,-1,N/A,N/A,N/A,N/A,N/A
DIM_DT_MNTH,3605,3600,5,WHERE CURRENT_IND <>120,3605,,3600,5,N/A,N/A,N/A,N/A,8000014
DIM_PRSNL,790088,755679,34409,WHERE CURRENT_IND <>120,790088,,755679,34409,,,,,N/A
DIM_EXCLUSION,570,563,7,WHERE CURRENT_IND <>120,570,,563,7,,,,,0
DIM_PRSNL_HIST,3555215,755629,2799586,WHERE CURRENT_IND <>120,3555215,,755629,2799586,,26,,26,
DIM_NAICS,2938,2937,1,WHERE CURRENT_IND <>120,2938,,2937,1,,,,,206
DIM_SIC,1012,1011,1,WHERE CURRENT_IND <>120,1012,,1011,1,,,,,206
DIM_SRC_SYS_SVC,152046,138916,13130,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL ,152046,,138916,13130,N/A,N/A,N/A,N/A,206
DIM_SRC_SYS,48,48,0,WHERE CURRENT_IND <>120,48,,48,0,,1,,1,0
DIM_PARTY,39549285,39554214,-4929,WHERE CURRENT_IND <>120,39549285,,39554214,-4929,,,,,206
DIM_STATE,4705,4721,-16,WHERE CURRENT_IND <>120,4705,,4721,-16,,5,,5,206
DIM_CCY,256,257,-1,WHERE CURRENT_IND <>120,256,,257,-1,,,,,206
DIM_RATE_TYPE,13,13,0,WHERE CURRENT_IND <>120,13,,13,0,,,,,
DIM_UOM,35,34,1,WHERE CURRENT_IND <>120,35,,34,1,,,,,N/A
DIM_FINCL_LOB,453,396,57,WHERE CURRENT_IND <>120,397,,396,1,56,,,,24400821
DIM_PARTY_HIST,50761595,47134322,3627273,WHERE CURRENT_IND <>120,50761595,,47134322,3627273,,3790091,,3790091,206
DIM_SALES_ANALYSIS_LOB,15,14,1,WHERE CURRENT_IND <>120,15,,14,1,,,,,206
DIM_SVC_PRC_HIST,7268628,910064,6358564,WHERE CURRENT_IND <>120 AND SOR_DEL_DTM IS NULL AND CUR_REC_FLG = 'Y',801085,,910064,-108979,,2,,2,206
SRC_DIM_MASCDC_AGRMT_R2,51980755,51530324,450431,WHERE CURRENT_IND <>120,51580768,,51530324,50444,N/A,N/A,N/A,N/A,206
DIM_AGRMT_VALUE_CHG_HIST,468917287,32473412,436443875,WHERE CURRENT_IND <>120,468917287,,32473412,436443875,,675968,,675968,206
FCT_P3_AGRMT_LN_ITEM_VALUE_CHG_HIST,2939828854,14219904,2925608950,WHERE CURRENT_IND <>120 AND DIM_SRC_SYS_GUID = SQLTOOLKIT..HASH8('MASCDC'),2939828854,,14219904,2925608950,,4538777,,4538777,206
P3_AGRMT_CANCEL_AUDIT,105647521,34826273,70821248,WHERE CURRENT_IND <>120 AND P3_AGRMT_STS_CD = 'CANCELLED',105647521,,34826273,70821248,77594022,17418749,77594022,17418749,206
