Table Name,nz Count,sf Count,Diff1,nz Filter,nz Count with Filter,sf FIlter,sf Count with Filter,Diff2,Dupes in NZ,Dupes in SF,Dupes in NZ with filter,Dupes in SF with,Max Audit ID
FCT_P3_PI_AGRMT_LN_ITEM_MNTH_AGG,890016669,956178220,-66161551,WHERE CURRENT_IND <>120,889963700,,956178220,-66214520,52969,15233754,,15233754,148
FCT_P3_PI_OPP_AGRMT_LN_ITEM_MNTH_AGG,18485915,85864660,-67378745,WHERE CURRENT_IND <>120,18481317,,85864660,-67383343,4598,75545377,,75545377,148
FCT_P3_RTOLS_PI_RECUR_EFF_MNTH_AGG,49796080,27439315,22356765,WHERE CURRENT_IND <>120,49796080,,27439315,22356765,12740207,5813634,12740207,5813634,148
FCT_P3_PI_AGRMT_MNTH_AGG,81235436,20201912,61033524,WHERE CURRENT_IND <>120,81235025,,20201912,61033113,411,367,,367,148
FCT_P3_PI_RECUR_EFF_AGRMT_MNTH_AGG,888895510,224039775,664855735,WHERE CURRENT_IND <>120,888895510,,224039775,664855735,7626117,805175,7626117,805175,148
FCT_P3_PI_RECUR_EFF_AGRMT_LN_ITEM_MNTH_AGG,1053462939,246524289,806938650,WHERE CURRENT_IND <>120,1053462939,,246524289,806938650,14880,3715445,14880,3715445,0
